date,meantemp,humidity,wind_speed,meanpressure
"Sun, 27 Sep 2015",28.125,46.875,2.914285714,1007
"Sun, 4 Oct 2015",28.375,54.375,1.3875,1004.25
"Sun, 11 Oct 2015",27.5,51.57142857,0.4625,1008.714286
"Sun, 18 Oct 2015",24,51.625,1.4,1009.857143
"Sun, 25 Oct 2015",20.875,47.125,1.1625,1012.75
"Sun, 1 Nov 2015",21.875,67.875,0.4625,1012.25
"Sun, 8 Nov 2015",21.75,59.375,0.7,1012
"Sun, 15 Nov 2015",18.5,48.375,0,1012
"Sun, 22 Nov 2015",17,56.375,0,1011.25
"Sun, 29 Nov 2015",17.5,67.5,0.925,1014.75
"Sun, 6 Dec 2015",13.25,71.28571429,1.057142857,1011.375
"Sun, 13 Dec 2015",12.25,63.625,0.925,1016.375
"Sun, 20 Dec 2015",11.25,64.5,0.7,1018.5
"Sun, 27 Dec 2015",14,58.125,1.057142857,1017.5
"Sun, 3 Jan 2016",14.375,65.14285714,0,1015.428571
"Sun, 10 Jan 2016",13,69.6875,1.625,1014.333333
"Sun, 17 Jan 2016",11.73333333,73.1875,1.48,1014.733333
"Sun, 24 Jan 2016",11.1875,69.16666667,1.2,1014.166667
"Sun, 31 Jan 2016",12.66666667,53,2.166666667,1013.333333
"Sun, 7 Feb 2016",15.625,54.75,0.746666667,1011.25
"Sun, 14 Feb 2016",17.6,56.14285714,3.707142857,1014.125
"Sun, 21 Feb 2016",21,50.64285714,2.44375,1012.5
"Sun, 28 Feb 2016",23,44.25,1.7,1012.666667
"Sun, 6 Mar 2016",22.8125,57.4375,5.171428571,1009.5625
"Sun, 13 Mar 2016",22.375,50.3125,3.578571429,1009.214286
"Sun, 20 Mar 2016",24.66666667,37.875,2.846666667,1009.375
"Sun, 27 Mar 2016",25.93333333,38.21428571,4.333333333,1006.714286
"Sun, 3 Apr 2016",29.26666667,29.3125,2.55,1006.6875
"Sun, 10 Apr 2016",29.8,23.6875,5.225,1003.0625
"Sun, 17 Apr 2016",31.91666667,21.81818182,4.566666667,1001.727273
"Sun, 24 Apr 2016",31.3125,21.76923077,3.83125,1003.0625
"Sun, 1 May 2016",30.6,18.46666667,4.65,1002.2
"Sun, 8 May 2016",32.5,28.11764706,4.16875,1001.352941
"Sun, 15 May 2016",36.13333333,23.5,4.75,995.9333333
"Sun, 22 May 2016",31.52631579,26.09090909,6.553333333,996.4666667
"Sun, 29 May 2016",26.8125,35.3125,2.78125,1001.25
"Sun, 5 Jun 2016",33.4375,41.86666667,8.485714286,938.0666667
"Sun, 12 Jun 2016",32.625,37.125,7.425,996.1333333
"Sun, 19 Jun 2016",30.9375,46.5625,5.875,998.3125
"Sun, 26 Jun 2016",28.4,57.46666667,5.23125,997.8666667
"Sun, 3 Jul 2016",29.5625,63,1.96875,995.5625
"Sun, 10 Jul 2016",27.125,65.6875,4.371428571,996.0625
"Sun, 17 Jul 2016",27.66666667,56.125,6.6,999.2666667
"Sun, 24 Jul 2016",27.33333333,69.125,1.86,946.3125
"Sun, 31 Jul 2016",29.125,61.66666667,4.32,310.4375
"Sun, 7 Aug 2016",28.10714286,62.38095238,3.22962963,998.5
"Sun, 14 Aug 2016",28.93333333,66.41666667,1.722222222,-3.041666667
"Sun, 21 Aug 2016",30.17857143,65.55555556,4.392592593,1001.192308
"Sun, 28 Aug 2016",27.25925926,62.68421053,4.148,1001.157895
"Sun, 4 Sep 2016",30.375,55,9.1,1002.923077
"Sun, 11 Sep 2016",30.85714286,55.5,2.707692308,1003.153846
"Sun, 18 Sep 2016",30.03703704,54.07407407,2.0875,1003.518519
"Sun, 25 Sep 2016",31.13043478,55.28,1.780769231,1004.782609
"Sun, 2 Oct 2016",28.83333333,57.96,3.233333333,1005.25
"Sun, 9 Oct 2016",27.74074074,44,3.184,1005.96
"Sun, 16 Oct 2016",28.40909091,47.73076923,6.459259259,1007.538462
"Sun, 23 Oct 2016",25.51851852,51.42307692,1.714814815,1008.269231
"Sun, 30 Oct 2016",23.11538462,58.2962963,1.431818182,1010.346154
"Sun, 6 Nov 2016",22.92592593,49.7037037,2.411111111,1011.518519
"Sun, 13 Nov 2016",20.66666667,51.73076923,1.496153846,1012.466667
"Sun, 20 Nov 2016",21.42105263,30.55,2.505,1012.894737
"Sun, 27 Nov 2016",19.20833333,33.63636364,1.238888889,12.04545455
"Sun, 4 Dec 2016",16.44444444,55.25,0.925,1013.416667
"Sun, 11 Dec 2016",15.83333333,56.625,3.281818182,1013.291667
"Sun, 18 Dec 2016",15.55,48.53333333,1.205,1011.318182
"Sun, 25 Dec 2016",14,67.55,3.547826087,1014.35
"Sun, 1 Jan 2017",10,70.05,0,1011.375
"Sun, 8 Jan 2017",11,67.05882353,1.95,1015.55
"Sun, 15 Jan 2017",11.72222222,66.47368421,3.630434783,1017.15
"Sun, 22 Jan 2017",14.86363636,68.13043478,3.391304348,1017.785714
"Sun, 29 Jan 2017",15.25,66.54545455,1.854545455,1014.4
"Sun, 5 Feb 2017",14.66666667,63.75,3.95,1014.210526
"Sun, 12 Feb 2017",16.25,56.75,1.625,1016.25
"Sun, 19 Feb 2017",18.625,40.375,6.054545455,1005.375
"Sun, 26 Feb 2017",18.75,42.5,3.911111111,1010
"Sun, 5 Mar 2017",18.53333333,41.25,5.566666667,1006.875
"Sun, 12 Mar 2017",17.375,46.30769231,4.522222222,1009.846154
"Sun, 19 Mar 2017",23.33333333,37.66666667,3.4875,1008.875
"Sun, 26 Mar 2017",29.1,34.5,6.95,1005
"Sun, 2 Apr 2017",25.625,26,4.65,1002.888889
"Sun, 9 Apr 2017",27.125,17.75,1.3875,1002.444444
"Sun, 16 Apr 2017",31,24.125,2.1,998.625
"Sun, 23 Apr 2017",32,27.14285714,9.9625,1002.125
